Name,Date,Open,High,Low,Close,Volume
PKO918,20150519,100.00,100.00,100.00,100.00,0
PKO918,20150520,100.00,100.00,100.00,100.00,0
PKO918,20150521,100.00,100.00,100.00,100.00,0
PKO918,20150522,100.00,100.00,100.00,100.00,0
PKO918,20150525,100.01,100.01,100.01,100.01,0
PKO918,20150526,100.01,100.01,100.01,100.01,0
PKO918,20150527,100.01,100.01,100.01,100.01,0
PKO918,20150528,100.01,100.01,100.01,100.01,0
PKO918,20150529,100.01,100.01,100.01,100.01,0
PKO918,20150601,100.01,100.01,100.01,100.01,0
PKO918,20150602,100.01,100.01,100.01,100.01,0
PKO918,20150603,100.01,100.01,100.01,100.01,0
PKO918,20150605,100.01,100.01,100.01,100.01,0
PKO918,20150608,100.02,100.02,100.02,100.02,0
PKO918,20150609,100.02,100.02,100.02,100.02,0
PKO918,20150610,100.02,100.02,100.02,100.02,0
PKO918,20150611,100.02,100.02,100.02,100.02,0
PKO918,20150612,100.02,100.02,100.02,100.02,0
PKO918,20150615,100.02,100.02,100.02,100.02,0
PKO918,20150616,100.02,100.02,100.02,100.02,0
PKO918,20150617,100.03,100.03,100.03,100.03,0
PKO918,20150618,100.03,100.03,100.03,100.03,0
PKO918,20150619,100.03,100.03,100.03,100.03,0
PKO918,20150622,100.03,100.03,100.03,100.03,0
PKO918,20150623,100.03,100.03,100.03,100.03,0
PKO918,20150624,100.03,100.03,100.03,100.03,0
PKO918,20150625,100.03,100.03,100.03,100.03,0
PKO918,20150626,100.03,100.03,100.03,100.03,0
PKO918,20150629,100.03,100.03,100.03,100.03,0
PKO918,20150630,100.03,100.03,100.03,100.03,0
PKO918,20150701,100.03,100.03,100.03,100.03,0
PKO918,20150702,100.03,100.03,100.03,100.03,0
PKO918,20150703,100.04,100.04,100.04,100.04,0
PKO918,20150706,100.04,100.04,100.04,100.04,0
PKO918,20150707,100.04,100.04,100.04,100.04,0
PKO918,20150708,100.04,100.04,100.04,100.04,0
PKO918,20150709,100.04,100.04,100.04,100.04,0
PKO918,20150710,100.05,100.05,100.05,100.05,0
PKO918,20150713,100.08,100.08,100.08,100.08,0
PKO918,20150714,100.08,100.08,100.08,100.08,0
PKO918,20150715,100.18,100.18,100.18,100.18,0
PKO918,20150716,100.18,100.18,100.18,100.18,0
PKO918,20150717,100.18,100.18,100.18,100.18,0
PKO918,20150720,100.18,100.18,100.18,100.18,0
PKO918,20150721,100.19,100.19,100.19,100.19,0
PKO918,20150722,100.04,100.04,100.04,100.04,0
PKO918,20150723,100.14,100.14,100.14,100.14,0
PKO918,20150724,100.14,100.14,100.14,100.14,0
PKO918,20150727,100.17,100.17,100.17,100.17,0
PKO918,20150728,100.17,100.17,100.17,100.17,0
PKO918,20150729,100.12,100.12,100.12,100.12,0
PKO918,20150730,100.15,100.15,100.15,100.15,0
PKO918,20150731,100.17,100.17,100.17,100.17,0
PKO918,20150803,100.25,100.25,100.25,100.25,0
PKO918,20150804,100.27,100.27,100.27,100.27,0
PKO918,20150805,100.27,100.27,100.27,100.27,0
PKO918,20150806,100.27,100.27,100.27,100.27,0
PKO918,20150807,100.28,100.28,100.28,100.28,0
PKO918,20150810,100.30,100.30,100.30,100.30,0
PKO918,20150811,100.33,100.33,100.33,100.33,0
PKO918,20150812,100.45,100.45,100.45,100.45,0
PKO918,20150813,100.45,100.45,100.45,100.45,0
PKO918,20150814,100.48,100.48,100.48,100.48,0
PKO918,20150817,100.55,100.55,100.55,100.55,0
PKO918,20150818,100.68,100.68,100.68,100.68,0
PKO918,20150819,100.70,100.70,100.70,100.70,0
PKO918,20150820,99.95,99.95,99.95,99.95,0
PKO918,20150821,99.72,99.72,99.72,99.72,0
PKO918,20150824,98.41,98.41,98.41,98.41,0
PKO918,20150825,102.22,102.22,102.22,102.22,0
PKO918,20150826,101.01,101.01,101.01,101.01,0
PKO918,20150827,103.74,103.74,103.74,103.74,0
PKO918,20150828,103.79,103.79,103.79,103.79,0
PKO918,20150831,94.08,94.08,94.08,94.08,0
PKO918,20150901,92.50,92.50,92.50,92.50,0
PKO918,20150902,92.16,92.16,92.16,92.16,0
PKO918,20150903,93.70,93.70,93.70,93.70,0
PKO918,20150904,92.22,92.22,92.22,92.22,0
PKO918,20150907,92.39,92.39,92.39,92.39,0
PKO918,20150908,93.13,93.13,93.13,93.13,0
PKO918,20150909,94.10,94.10,94.10,94.10,0
PKO918,20150910,92.95,92.95,92.95,92.95,0
PKO918,20150911,93.02,93.02,93.02,93.02,0
PKO918,20150914,93.38,93.38,93.38,93.38,0
PKO918,20150915,93.91,93.91,93.91,93.91,0
PKO918,20150916,94.52,94.52,94.52,94.52,0
PKO918,20150917,95.12,95.12,95.12,95.12,0
PKO918,20150918,94.18,94.18,94.18,94.18,0
PKO918,20151005,93.83,93.83,93.83,93.83,0
PKO918,20151006,93.85,93.85,93.85,93.85,0
PKO918,20151007,94.07,94.07,94.07,94.07,0
PKO918,20151008,94.36,94.36,94.36,94.36,0
PKO918,20151009,95.30,95.30,95.30,95.30,0
PKO918,20151012,95.26,95.26,95.26,95.26,0
PKO918,20151013,95.42,95.42,95.42,95.42,0
PKO918,20151014,94.82,94.82,94.82,94.82,0
PKO918,20151015,94.89,94.89,94.89,94.89,0
PKO918,20151016,95.85,95.85,95.85,95.85,0
PKO918,20151019,95.86,95.86,95.86,95.86,0
PKO918,20151020,95.87,95.87,95.87,95.87,0
PKO918,20151021,95.66,95.66,95.66,95.66,0
PKO918,20151022,95.93,95.93,95.93,95.93,0
PKO918,20151023,96.85,96.85,96.85,96.85,0
PKO918,20151026,96.95,96.95,96.95,96.95,0
PKO918,20151027,96.46,96.46,96.46,96.46,0
PKO918,20151028,97.29,97.29,97.29,97.29,0
PKO918,20151029,97.44,97.44,97.44,97.44,0
PKO918,20151030,97.43,97.43,97.43,97.43,0
PKO918,20151102,97.61,97.61,97.61,97.61,0
PKO918,20151103,98.16,98.16,98.16,98.16,0
PKO918,20151104,98.05,98.05,98.05,98.05,0
PKO918,20151105,97.93,97.93,97.93,97.93,0
PKO918,20151106,97.77,97.77,97.77,97.77,0
PKO918,20151109,97.08,97.08,97.08,97.08,0
PKO918,20151110,97.17,97.17,97.17,97.17,0
PKO918,20151112,96.52,96.52,96.52,96.52,0
PKO918,20151113,95.63,95.63,95.63,95.63,0
PKO918,20151116,95.37,95.37,95.37,95.37,0
PKO918,20151117,96.65,96.65,96.65,96.65,0
PKO918,20151118,96.74,96.74,96.74,96.74,0
PKO918,20151119,97.25,97.25,97.25,97.25,0
PKO918,20151120,97.61,97.61,97.61,97.61,0
PKO918,20151123,97.51,97.51,97.51,97.51,0
PKO918,20151124,97.13,97.13,97.13,97.13,0
PKO918,20151125,97.59,97.59,97.59,97.59,0
PKO918,20151126,97.74,97.74,97.74,97.74,0
