-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2016-02-10    23:59      186 kB  PKO005.txt        PKO Skarbowy        
2016-02-10    23:59      135 kB  PKO006.txt        PKO Rynku Pienieznego
2016-02-10    23:59      113 kB  PKO008.txt        PKO Akcji Nowa Europa
2016-02-10    23:59      117 kB  PKO014.txt        PKO Obligacji Dlugoterminowych
2016-02-10    23:59      111 kB  PKO015.txt        PKO Akcji MiS Spolek
2016-02-10    23:59       93 kB  PKO020.txt        PKO Strategicznej Alokacji
2016-02-10    23:59       92 kB  PKO021.txt        PKO Akcji Plus      
2016-02-10    23:59      100 kB  PKO024.txt        PKO Papierow Dluznych Plus
2016-02-10    23:59       64 kB  PKO026.txt        PKO Surowcow Globalny
2016-02-10    23:59       67 kB  PKO027.txt        PKO Technologii i Innowacji Globalny
2016-02-10    23:59       67 kB  PKO028.txt        PKO Dobr Luksusowych Globalny
2016-02-10    23:59       62 kB  PKO029.txt        PKO Infrastruktury i Budownictwa
2016-02-10    23:59      178 kB  PZU001.txt        PZU Akcji Krakowiak 
2016-02-10    23:59      181 kB  PZU002.txt        PZU Stabilnego Wzrostu Mazurek
2016-02-10    23:59      178 kB  PZU003.txt        PZU Papierow Dluznych Polonez
2016-02-10    23:59      111 kB  PZU004.txt        PZU Gotowkowy       
2016-02-10    23:59      107 kB  PZU005.txt        PZU Zrownowazony    
2016-02-10    23:59      107 kB  PZU006.txt        PZU Akcji Nowa Europa
2016-02-10    23:59       98 kB  PZU007.txt        PZU FIO Ochrony Majatku
2016-02-10    23:59       98 kB  PZU008.txt        PZU Akcji Malych i Srednich Spolek
2016-02-10    23:59       86 kB  PZU014.txt        PZU Energia Medycyna Ekologia
2016-02-10    23:59       78 kB  PZU016.txt        PZU Sejf+           
2016-02-10    23:59       63 kB  SUP001.txt        SUPERFUND SFIO RED  
2016-02-10    23:59       64 kB  SUP002.txt        SUPERFUND SFIO B    
2016-02-10    23:59       63 kB  SUP003.txt        SUPERFUND SFIO C    
2016-02-10    23:59       51 kB  SUP004.txt        SUPERFUND Trend Plus Powiazany SFIO
2016-02-10    23:59       53 kB  SUP006.txt        SUPERFUND Akcji     
2016-02-10    23:59       58 kB  SUP007.txt        SUPERFUND SFIO Plynnosciowy
2016-02-10    23:59       53 kB  SUP008.txt        SUPERFUND GoldFuture
2016-02-10    23:59       24 kB  SUP009.txt        SUPERFUND Akcyjny   
2016-02-10    23:59       25 kB  SUP010.txt        SUPERFUND Obligacyjny
2016-02-10    23:59       25 kB  SUP011.txt        SUPERFUND Pieniezny 
2016-02-10    23:59       25 kB  SUP012.txt        SUPERFUND Alternatywny
2016-02-10    23:59       14 kB  UI_034.txt        UNIStrategie Dynamiczny
2016-02-10    23:59       14 kB  UI_035.txt        UNIObligacje Zamienne
2016-02-10    23:59       13 kB  UI_036.txt        UNIAkcje: Daleki Wschod
2016-02-10    23:59        9 kB  UI_038.txt        UniDynamiczna Alokacja Aktywow
2016-02-10    23:59        5 kB  UI_041.txt        UNIAkcje Globalny Dywidendowy
2016-02-10    23:59        6 kB  UI_042.txt        UNIAkcje Biopharma  
2016-02-09    23:59       43 kB  AGI004.txt        AGIO Kapital Plus   
2016-02-09    23:59       95 kB  AIG001.txt        MetLife Obligacji Skarbowych
2016-02-09    23:59      111 kB  AIG002.txt        MetLife Aktywnej Alokacji
2016-02-09    23:59      122 kB  AIG003.txt        MetLife Stabilnego Wzrostu
2016-02-09    23:59      122 kB  AIG004.txt        MetLife Akcji       
2016-02-09    23:59      113 kB  AIG005.txt        MetLife Pieniezny   
2016-02-09    23:59      107 kB  AIG006.txt        MetLife Zrownowazony Nowa Europa
2016-02-09    23:59       86 kB  AIG007.txt        MetLife Akcji Srednich Spolek
2016-02-09    23:59       97 kB  AIG008.txt        MetLife Lokacyjny   
2016-02-09    23:59       97 kB  AIG009.txt        MetLife Obligacji Plus
2016-02-09    23:59       88 kB  AIG010.txt        MetLife Akcji Malych Spolek
2016-02-09    23:59       87 kB  AIG011.txt        MetLife Ochrony Wzrostu
2016-02-09    23:59       90 kB  AIG012.txt        MetLife Akcji Nowa Europa
2016-02-09    23:59       87 kB  AIG013.txt        MetLife Akcji Polskich
2016-02-09    23:59       86 kB  AIG014.txt        MetLife Obligacji Swiatowych
2016-02-09    23:59       89 kB  AIG015.txt        MetLife Akcji Amerykanskich
2016-02-09    23:59       94 kB  AIG016.txt        MetLife Zrownowazony Azjatycki
2016-02-09    23:59       29 kB  AIG017.txt        MetLife Akcji Rynkow Rozwinietych
2016-02-09    23:59       83 kB  AIG018.txt        MetLife Akcji Rynkow Wschodzacych
2016-02-09    23:59       90 kB  AIG019.txt        MetLife Akcji Chinskich i Azjatyckich
2016-02-09    23:59       14 kB  AIP021.txt        AVIVA Obligacji Zamiennych
2016-02-09    23:59        3 kB  AIP099.txt        AVIVA Oszczednosciowy
2016-02-09    23:59       38 kB  ALT001.txt        ALTUS Absolutnej St. Zwr. Rynku Pol.
2016-02-09    23:59       31 kB  ALT022.txt        ALTUS Stabilnego Wzrostu
2016-02-09    23:59       27 kB  ALT023.txt        ALTUS Aktywnego Zarzadzania
2016-02-09    23:59       25 kB  ALT024.txt        ALTUS Pieniezny     
2016-02-09    23:59       21 kB  ALT920.txt        ALTUS Absolutnej Stopy Zwrotu Nowej Europy
2016-02-09    23:59       21 kB  ALT921.txt        ALTUS Optymalnego Wzrostu
2016-02-09    23:59       38 kB  ALT991.txt        ALTUS Absolutnej St. Zwr. Dluzny
2016-02-09    23:59       38 kB  ALT992.txt        ALTUS Akcji         
2016-02-09    23:59       35 kB  ALT993.txt        ALTUS Short         
2016-02-09    23:59      207 kB  DWS001.txt        INVESTOR Zrownowazony
2016-02-09    23:59      207 kB  DWS002.txt        INVESTOR Obligacji  
2016-02-09    23:59      207 kB  DWS003.txt        INVESTOR Akcji Duzych Spolek Dywidendowych
2016-02-09    23:59      202 kB  DWS004.txt        INVESTOR Akcji      
2016-02-09    23:59      186 kB  DWS005.txt        INVESTOR Plynna Lokata
2016-02-09    23:59      170 kB  DWS006.txt        INVESTOR Zabezp. Emerytalnego
2016-02-09    23:59      152 kB  DWS011.txt        INVESTOR Top 25 Malych Spolek
2016-02-09    23:59       96 kB  DWS016.txt        INVESTOR Top 50 MiS Spolek
2016-02-09    23:59       80 kB  DWS019.txt        INVESTOR BRIC       
2016-02-09    23:59       72 kB  DWS020.txt        INVESTOR Sektora Nier. i Budown.
2016-02-09    23:59       80 kB  DWS022.txt        INVESTOR Sektora Infr. i Inform.
2016-02-09    23:59       87 kB  DWS024.txt        INVESTOR Gotowkowy  
2016-02-09    23:59       79 kB  DWS025.txt        INVESTOR Gold Otwarty
2016-02-09    23:59       79 kB  DWS026.txt        INVESTOR Agrobiznes 
2016-02-09    23:59       79 kB  DWS027.txt        INVESTOR Rosja      
2016-02-09    23:59       79 kB  DWS028.txt        INVESTOR Turcja     
2016-02-09    23:59       79 kB  DWS029.txt        INVESTOR Indie i Chiny
2016-02-09    23:59       79 kB  DWS031.txt        INVESTOR Ameryka Lacinska
2016-02-09    23:59       10 kB  DWS034.txt        INVESTOR Obligacji Korporacyjnych
2016-02-09    23:59       10 kB  DWS035.txt        INVESTOR Obligacji Rynkow Wschodzacych Plus
2016-02-09    23:59       10 kB  DWS036.txt        INVESTOR Akcji Spolek Wzrostowych
2016-02-09    23:59       10 kB  DWS037.txt        INVESTOR Globalny Akcji
2016-02-09    23:59       10 kB  DWS038.txt        INVESTOR Akcji Rynkow Wschodzacych
2016-02-09    23:59       39 kB  EQU001.txt        EQUES Akcji         
2016-02-09    23:59       39 kB  EQU002.txt        EQUES Aktywnej Alokacji
2016-02-09    23:59       39 kB  EQU003.txt        EQUES Obligacji     
2016-02-09    23:59       39 kB  EQU004.txt        EQUES Pieniezny     
2016-02-09    23:59      195 kB  ING001.txt        NN Akcji            
2016-02-09    23:59      194 kB  ING002.txt        NN Zrownowazony     
2016-02-09    23:59      174 kB  ING003.txt        NN Stabilnego Wzrostu
2016-02-09    23:59      190 kB  ING004.txt        NN Gotowkowy        
2016-02-09    23:59      190 kB  ING005.txt        NN Obligacji        
2016-02-09    23:59       99 kB  ING006.txt        NN Srednich i Malych Spolek
2016-02-09    23:59      102 kB  ING018.txt        NN Selektywny       
2016-02-09    23:59       87 kB  ING022.txt        NN Akcji Srodkowoeuropejskich
2016-02-09    23:59       87 kB  ING024.txt        NN Lokacyjny Plus   
2016-02-09    23:59       69 kB  ING025.txt        NN Globalny Spolek Dywidendowych
2016-02-09    23:59       69 kB  ING026.txt        NN Spolek Dywidendowych USA
2016-02-09    23:59       68 kB  ING027.txt        NN Europejski Spolek Dywidendowych
2016-02-09    23:59       67 kB  ING033.txt        NN Japonia          
2016-02-09    23:59       68 kB  ING034.txt        NN Nowej Azji       
2016-02-09    23:59       65 kB  ING035.txt        NN Spolek Dywidendowych Rynkow Wschodzacych
2016-02-09    23:59       64 kB  ING036.txt        NN Ameryki Lacinskiej
2016-02-09    23:59       68 kB  ING038.txt        NN Globalny Dlugu Korporacyjnego
2016-02-09    23:59       61 kB  ING042.txt        NN Globalnych Mozliwosci
2016-02-09    23:59       52 kB  ING043.txt        NN Depozytowy       
2016-02-09    23:59       45 kB  ING044.txt        NN Obligacji Rynkow Wschodzacych (Waluta Lokalna)
2016-02-09    23:59       37 kB  ING051.txt        NN Zagranicznych Obligacji Rynkow Wschodzacych
2016-02-09    23:59       22 kB  ING052.txt        NN Stabilny Globalnej Alokacji
2016-02-09    23:59       63 kB  IPO054.txt        IPOPEMA m-INDEKS kat. A
2016-02-09    23:59       47 kB  IPO062.txt        IPOPEMA Akcji kat. A
2016-02-09    23:59       47 kB  IPO063.txt        IPOPEMA Makro Alokacji kat. A
2016-02-09    23:59       47 kB  IPO064.txt        IPOPEMA Obligacji kat. A
2016-02-09    23:59       36 kB  IPO082.txt        IPOPEMA Gotowkowy kat. A
2016-02-09    23:59       33 kB  IPO083.txt        IPOPEMA MiS Spolek kat. A
2016-02-09    23:59       27 kB  IPO084.txt        IPOPEMA Short Equity kat. A
2016-02-09    23:59        4 kB  IPO099.txt        IPOPEMA Globalnych Megatrendow kat. A
2016-02-09    23:59        8 kB  IPO145.txt        IPOPEMA Dluzny kat. A
2016-02-09    23:59        8 kB  IPO945.txt        IPOPEMA Dluzny kat. B
2016-02-09    23:59       60 kB  IPO954.txt        IPOPEMA m-INDEKS kat. B
2016-02-09    23:59       44 kB  IPO962.txt        IPOPEMA Akcji kat. B
2016-02-09    23:59       45 kB  IPO963.txt        IPOPEMA Makro Alokacji kat. B
2016-02-09    23:59       47 kB  IPO964.txt        IPOPEMA Obligacji kat. B
2016-02-09    23:59       36 kB  IPO982.txt        IPOPEMA Gotowkowy kat. B
2016-02-09    23:59       33 kB  IPO983.txt        IPOPEMA MiS Spolek kat. B
2016-02-09    23:59       26 kB  IPO984.txt        IPOPEMA Short Equity kat. B
2016-02-09    23:59        4 kB  IPO999.txt        IPOPEMA Globalnych Megatrendow kat. B
2016-02-09    23:59       83 kB  MIL019.txt        MILLENNIUM Absolute Return
2016-02-09    23:59       86 kB  MIL020.txt        MILLENNIUM Obligacji Korporacyjnych
2016-02-09    23:59       84 kB  MIL021.txt        MILLENNIUM Globalny Akcji
2016-02-09    23:59       86 kB  MIL022.txt        MILLENNIUM Globalny Stabilnego Wzrostu
2016-02-09    23:59       85 kB  MIL023.txt        MILLENNIUM Globalny Strategii Alternatywnych
2016-02-09    23:59       36 kB  OFT001.txt        OPEN Akcji          
2016-02-09    23:59       33 kB  OFT002.txt        OPEN MiS Spolek     
2016-02-09    23:59       36 kB  OFT003.txt        OPEN Aktywnej Alokacji
